original_Date(UTC),original_Latitude,original_Longitude,original_Depth,original_Magnitude,distance,formatted,lat,lon,housenumber,postcode,district,suburb,street,city,name,county,county_code,state,state_code,country,country_code,attribution,attribution_license,attribution_url
2017-12-11 00:22:01,-19.16,-70.06,42,4.4,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,1140000,,,,Huara,,Provincia del Tamarugal,,Tarapacа Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-12-10 02:09:30,-36.05,-73.06,51,5.0,1770146.8127810438,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2017-12-08 09:28:45,-40.34,-72.59,81,4.0,497.5550153614176,"Río Bueno, Provincia de Ranco, Chile",-40.34151807408827,-72.58422076180531,,,,,,Río Bueno,,Provincia de Ranco,,Los Ríos,LR,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-12-06 20:46:31,-32.28,-71.36,45,4.5,487.06995101061216,"Hotel Rancho Los Olivos, Ruta E-251, La Ligua, Chile",-32.2795756,-71.35484332639547,,,,,Ruta E-251,La Ligua,Hotel Rancho Los Olivos,Provincia de Petorca,PE,Valparaiso Region,VS,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-12-06 18:22:26,-37.43,-74.35,22,4.3,1718833.9708433892,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2017-12-06 12:29:03,-32.13,-71.8,32,4.2,1804323.5795439004,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2017-12-06 08:30:37,-37.49,-74.62,35,4.7,1700062.6958139173,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2017-12-06 06:33:26,-32.01,-71.52,38,4.3,663.1989232673434,"Punta Changos, Choapa, Chile",-32.0051,-71.52401,,,,,,,Punta Changos,Choapa,CH,De Coquimbo,CO,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2017-12-02 09:30:23,-28.41,-70.19,112,4.2,0,"Vallenar, Provincia de Huasco, Chile",-28.5750438,-70.7616398,,,,,,Vallenar,,Provincia de Huasco,,Atacama Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-29 10:02:54,-33.54,-70.01,116,4.4,0,"San José de Maipo, Provincia de Cordillera, Chile",-33.6403975,-70.3527845,,,,,,San José de Maipo,,Provincia de Cordillera,,Santiago Metropolitan Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-27 19:19:33,-17.62,-69.46,159,5.0,797.1162894882639,"Oleoducto Cochabamba-Arica, Pacajes, Bolivia",-17.617234,-69.453061,,,,,Oleoducto Cochabamba-Arica,,,Pacajes,PC,La Paz,LP,Bolivia,bo,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-27 04:21:17,-22.51,-70.54,28,4.2,2153365.493574431,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2017-11-26 22:15:13,-32.23,-71.03,66,5.4,647.4915376636136,"Cerro Vizcachas, Petorca, Chile",-32.22424,-71.02899,,,,,,,Cerro Vizcachas,Petorca,PE,De Valparaiso,VS,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2017-11-26 08:47:39,-32.65,-71.59,32,4.0,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-25 21:18:26,-20.01,-70.8,44,4.0,2267148.7403590204,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2017-11-23 13:58:44,-21.25,-68.42,124,4.3,7.820558933844788,"Ruta B-125, Ollagüe, Chile",-21.26874554467952,-68.47340877113409,,,,,Ruta B-125,Ollagüe,Ruta B-125,Provincia de El Loa,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-23 12:53:30,-29.92,-71.37,44,3.5,3964.494353130585,"1781003 Coquimbo, Chile",-29.9488547,-71.3458339,,1781003,,Parte Alta,,Coquimbo,,Provincia de Elqui,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-22 04:00:27,-20.5,-68.92,103,4.3,0,"Pica, Provincia del Tamarugal, Chile",-20.4911417,-69.3290752,,,,,,Pica,,Provincia del Tamarugal,,Tarapacа Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-18 16:26:17,-21.97,-68.68,98,4.5,300.07964508644864,"Ruta B-149, Calama, Chile",-21.976230115764714,-68.66821472194398,,,,,Ruta B-149,Calama,Ruta B-149,Provincia de El Loa,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-18 10:01:28,-20.75,-69.13,108,5.0,0,"Pozo Almonte, Provincia del Tamarugal, Chile",-20.2597061,-69.7861372,,,,,,Pozo Almonte,,Provincia del Tamarugal,,Tarapacа Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-17 16:45:47,-19.79,-69.28,105,5.3,441.3640982039647,"Ocharaza, Tamarugal, Chile",-19.79046,-69.27581,,,,,,,Ocharaza,Tamarugal,TM,De Tarapaca,TP,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2017-11-17 02:16:51,-32.12,-71.83,35,4.3,1801440.8397950223,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2017-11-14 03:59:04,-20.2,-69.21,91,4.3,0,"Pozo Almonte, Provincia del Tamarugal, Chile",-20.2597061,-69.7861372,,,,,,Pozo Almonte,,Provincia del Tamarugal,,Tarapacа Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-09 07:36:58,-30.7,-71.36,39,5.0,996.0636208458781,"Quebrada Espinal, 184 0000 Limarí, Chile",-30.70789,-71.364933,,1840000,,,Quebrada Espinal,,,Limarí,LM,De Coquimbo,CO,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-09 05:46:07,-28.32,-71.23,54,4.3,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-08 19:34:16,-33.2,-70.45,99,4.0,0,"Lo Barnechea, Provincia de Santiago, Chile",-33.294287800000006,-70.39048411960871,,,,,,Lo Barnechea,,Provincia de Santiago,,Santiago Metropolitan Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-08 11:50:17,-24.0,-69.29,94,4.3,0,"Antofagasta, Provincia de Antofagasta, Chile",-23.6463741,-70.3980033,,,,,,Antofagasta,,Provincia de Antofagasta,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-07 12:17:39,-29.46,-71.29,45,4.1,92.53473255234117,"Ruta D-190, La Higuera, Chile",-29.4857036005117,-71.30040978284367,,,,,Ruta D-190,La Higuera,Ruta D-190,Provincia de Elqui,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-07 08:11:17,-22.14,-68.66,129,5.1,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,Calama,,Provincia de El Loa,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-06 07:52:19,-34.68,-70.79,99,4.4,0,"San Fernando, Provincia de Colchagua, Chile",-34.583791,-70.989122,,,,,,San Fernando,,Provincia de Colchagua,,O'Higgins Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-04 19:03:27,-20.0,-69.13,98,4.1,0,"Pozo Almonte, Provincia del Tamarugal, Chile",-20.2597061,-69.7861372,,,,,,Pozo Almonte,,Provincia del Tamarugal,,Tarapacа Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-02 21:24:10,-30.93,-71.26,54,4.3,185.9182927880947,"Escuela Villa Los Corrales, Ruta D-673, Punitaqui, Chile",-30.9287163,-71.2612489,,,,,Ruta D-673,Punitaqui,Escuela Villa Los Corrales,Provincia de Limarí,LM,Coquimbo Region,CO,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-02 19:00:40,-23.16,-69.93,54,4.4,178.22009893915427,"Sierra Gorda, Provincia de Antofagasta, Chile",-23.165283603533105,-69.88904730654322,,,,,,Sierra Gorda,,Provincia de Antofagasta,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-11-02 12:46:23,-19.67,-69.3,100,4.1,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,1140000,,,,Huara,,Provincia del Tamarugal,,Tarapacа Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-29 22:58:58,-31.05,-71.36,68,4.6,719.6652292705543,"Cerro de Piedra, Limarí, Chile",-31.04706,-71.36673,,,,,,,Cerro de Piedra,Limarí,LM,De Coquimbo,CO,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2017-10-27 20:38:55,-30.6,-71.65,31,4.2,482.841948245145,"Ruta D-540, Ovalle, Chile",-30.59870387312932,-71.66249883469777,,,,,Ruta D-540,Ovalle,Ruta D-540,Provincia de Limarí,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-21 16:19:03,-20.76,-69.69,55,4.0,0,"Pozo Almonte, Provincia del Tamarugal, Chile",-20.2597061,-69.7861372,,,,,,Pozo Almonte,,Provincia del Tamarugal,,Tarapacа Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-19 09:14:50,-30.63,-71.25,55,4.2,807.1485417302315,"Quebrada El Ingenio, Provincia de Limarí, Chile",-30.62322883887507,-71.25303981634482,,,,,Quebrada El Ingenio,,Quebrada El Ingenio,Provincia de Limarí,LM,Coquimbo Region,CO,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-17 11:58:30,-22.63,-67.72,169,5.4,0,"Municipio San Pablo de Lipez, Provincia Sur Lípez, Bolivia",-22.093118349999997,-67.40453633471795,,,,,,Municipio San Pablo de Lipez,,Provincia Sur Lípez,,Potosí,P,Bolivia,bo,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-17 10:40:41,-32.59,-71.04,80,4.0,0,"Cabildo, Provincia de Petorca, Chile",-32.4265909,-71.0663299,,,,,,Cabildo,,Provincia de Petorca,,Valparaiso Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-15 02:54:58,-22.76,-68.94,107,4.9,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,Calama,,Provincia de El Loa,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-14 23:48:38,-21.07,-68.75,116,4.2,1861.588260031322,"Piedras Canteadas, Pica, Provincia del Tamarugal, Chile",-21.053344,-68.7518123,,,,,,Pica,Piedras Canteadas,Provincia del Tamarugal,,Tarapacа Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-13 02:23:30,-20.29,-69.14,91,4.0,0,"Pica, Provincia del Tamarugal, Chile",-20.4911417,-69.3290752,,,,,,Pica,,Provincia del Tamarugal,,Tarapacа Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-12 17:21:09,-19.67,-69.18,99,4.3,988.0965586525228,"Quebrada Ocharaza, Huara, Chile",-19.67887315,-69.17948965,,,,,Quebrada Ocharaza,Huara,Quebrada Ocharaza,Provincia del Tamarugal,TM,Tarapacа Region,TP,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-10 07:21:43,-18.57,-69.77,90,4.9,669.6059620366418,"Río San José, Arica, Chile",-18.565691656255492,-69.77443834136899,,,,,Río San José,Arica,Río San José,Provincia de Arica,AR,Arica y Parinacota Region,AP,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-10 07:04:47,-18.62,-69.78,75,4.5,0,"Arica, Provincia de Arica, Chile",-18.4785288,-70.3211394,,,,,,Arica,,Provincia de Arica,,Arica y Parinacota Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-10 06:32:20,-18.49,-69.74,100,6.3,0,"Arica, Provincia de Arica, Chile",-18.4785288,-70.3211394,,,,,,Arica,,Provincia de Arica,,Arica y Parinacota Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-10 01:56:24,-27.72,-70.21,75,4.0,952.6506912523612,"Mineral del Jardín, Tierra Amarilla, Copiapó, Chile",-27.72506,-70.20219,,,,,,Tierra Amarilla,Mineral del Jardín,Copiapó,CO,De Atacama,AT,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2017-10-09 22:55:51,-30.01,-71.24,50,4.7,116.08845578004748,"San Rafael Uno, Coquimbo, Chile",-30.01126574628128,-71.24201611771093,,,,,San Rafael Uno,Coquimbo,San Rafael Uno,Provincia de Elqui,EQ,Coquimbo Region,CO,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-09 06:13:32,-27.84,-70.09,98,4.1,41.77133170797026,"Ruta C-345, Tierra Amarilla, Chile",-27.857430502547505,-70.0782304174054,,,,,Ruta C-345,Tierra Amarilla,Ruta C-345,Provincia de Copiapó,,Atacama Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-09 01:41:55,-21.23,-68.74,118,4.5,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,Calama,,Provincia de El Loa,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-08 12:36:29,-20.39,-68.89,104,4.0,114.86139919687062,"Ruta A-65, Pica, Chile",-20.336083761931945,-68.9560496303921,,,,,Ruta A-65,Pica,Ruta A-65,Provincia del Tamarugal,,Tarapacа Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-07 10:37:26,-32.47,-71.76,15,4.0,1810562.7970784542,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2017-10-05 08:11:37,-22.37,-68.54,115,5.8,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,Calama,,Provincia de El Loa,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-04 08:25:32,-30.72,-71.34,42,4.3,1726.8165955994261,"Ovalle, Provincia de Limarí, Chile",-30.7055711,-71.3466793,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-03 08:27:13,-33.02,-72.0,31,4.4,1793946.4268240607,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2017-10-02 22:07:54,-22.21,-68.73,112,4.6,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,Calama,,Provincia de El Loa,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-10-01 10:24:36,-28.4,-70.75,72,4.3,0,"Vallenar, Provincia de Huasco, Chile",-28.5750438,-70.7616398,,,,,,Vallenar,,Provincia de Huasco,,Atacama Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-09-29 18:08:56,-29.94,-71.58,38,4.2,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-09-27 09:01:07,-29.43,-71.27,40,4.1,0,"La Higuera, Provincia de Elqui, Chile",-29.511595,-71.2015007,,,,,,La Higuera,,Provincia de Elqui,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-09-26 14:07:21,-28.38,-71.2,32,4.1,739.9053572286591,"Cabo Norte, Huasco, Chile",-28.38174,-71.1927,,,,,,,Cabo Norte,Huasco,HU,De Atacama,AT,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2017-09-26 12:14:48,-37.44,-74.14,32,4.7,1736166.1349109167,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2017-09-26 05:44:33,-21.35,-66.95,279,5.2,0,"Municipio Colcha K, Provincia Nor Lípez, Bolivia",-20.7857208,-67.41570599440217,,,,,,Municipio Colcha K,,Provincia Nor Lípez,,Potosí,P,Bolivia,bo,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
