original_Date(UTC),original_Latitude,original_Longitude,original_Depth,original_Magnitude,distance,formatted,lat,lon,housenumber,district,postcode,suburb,street,city,name,county,county_code,state,state_code,country,country_code,attribution,attribution_license,attribution_url
2019-05-30 03:34:56,-23.46,-68.87,104,5.0,0,"1390000 Sierra Gorda, Chile",-22.8916766,-69.3200101,,,1390000,,,Sierra Gorda,,Provincia de Antofagasta,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-27 22:44:26,-28.73,-70.57,92,4.6,0,"Vallenar, Provincia de Huasco, Chile",-28.5750438,-70.7616398,,,,,,Vallenar,,Provincia de Huasco,,Atacama Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-27 21:56:14,-30.68,-71.76,35,4.2,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-27 15:25:26,-33.09,-71.89,28,4.3,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-27 12:21:17,-20.53,-70.18,36,3.2,595.3131929217269,"Diego Aracena International Airport, Iquique, Chile",-20.53522,-70.18127,,,,,,,Diego Aracena International Airport,Iquique,IE,De Tarapaca,TP,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2019-05-26 13:34:35,-25.96,-69.05,121,4.1,741.6711851576347,"Trama de Salar, Chañaral, Chile",-25.96667,-69.05,,,,,,,Trama de Salar,Chañaral,CR,De Atacama,AT,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2019-05-26 01:26:00,-30.4,-71.44,11,3.5,187.40679938837184,"Ruta 5 Norte, Coquimbo, Chile",-30.393655162832896,-71.43966680414174,,,,,Ruta 5 Norte,Coquimbo,Ruta 5 Norte,Provincia de Elqui,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-25 08:06:56,-29.85,-71.54,38,3.5,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-24 21:21:31,-20.03,-69.14,94,3.7,0,"Pozo Almonte, Provincia del Tamarugal, Chile",-20.2597061,-69.7861372,,,,,,Pozo Almonte,,Provincia del Tamarugal,,Tarapacа Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-24 20:16:01,-27.91,-66.95,176,5.8,0,"K4750 Municipio de Londres, Argentina",-27.83148085,-67.18252803515398,,,K4750,,,Municipio de Londres,,Departamento Belén,,Catamarca,K,Argentina,ar,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-23 00:59:25,-34.8,-71.81,42,4.2,442.28264096553403,"Paredones, Provincia de Cardenal Caro, Chile",-34.79888187779554,-71.80448881169984,,,,,,Paredones,,Provincia de Cardenal Caro,,O'Higgins Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-22 22:42:30,-38.42,-72.18,77,4.1,1629.060556630416,"Victoria, Provincia de Malleco, Chile",-38.4102388,-72.1660567,,,,,,Victoria,,Provincia de Malleco,,Araucania Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-22 04:23:12,-40.48,-72.94,46,4.8,2018.4226175456695,"San Pablo, Provincia de Osorno, Chile",-40.4961786,-72.9291773,,,,,,San Pablo,,Provincia de Osorno,,Los Lagos Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-21 19:25:12,-30.5,-71.24,57,4.6,0,"Ovalle, Provincia de Limarí, Chile",-30.6030819,-71.2029894,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-20 11:18:32,-31.49,-70.23,134,5.6,0,"Calingasta, Argentina",-31.44769675,-69.88272746134805,,,,,,,Calingasta,Calingasta,CL,San Juan,J,Argentina,ar,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-18 23:32:34,-20.19,-69.37,102,4.0,0,"Pozo Almonte, Provincia del Tamarugal, Chile",-20.2597061,-69.7861372,,,,,,Pozo Almonte,,Provincia del Tamarugal,,Tarapacа Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-18 17:51:57,-30.26,-71.17,59,4.0,0,"Andacollo, Provincia de Elqui, Chile",-30.2322048,-71.0847556,,,,,,Andacollo,,Provincia de Elqui,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-18 02:52:25,-33.3,-70.34,105,4.0,2073.302657451676,"Planchada, Lo Barnechea, Provincia de Santiago, Chile",-33.283333,-70.35,,,,,,Lo Barnechea,Planchada,Provincia de Santiago,,Santiago Metropolitan Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-17 14:16:24,-19.75,-70.28,69,5.0,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-16 14:32:50,-17.88,-70.31,111,5.2,0,"Alto de la Alianza, TAC, Peru",-17.8003418,-70.27118844752046,,,,,,Alto de la Alianza,,,,Tacna,TAC,Peru,pe,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-16 04:32:28,-29.92,-71.42,53,3.8,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-16 01:34:11,-34.47,-71.96,28,4.0,880.0015073369357,"Cementerio Ciruelos, Ruta I-450, Pichilemu, Chile",-34.463573249999996,-71.96560165770981,,,,,Ruta I-450,Pichilemu,Cementerio Ciruelos,Provincia de Cardenal Caro,CC,O'Higgins Region,LI,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-16 00:32:13,-31.5,-69.7,139,5.0,892.7858902966755,"Río Ansilta, J, Argentina",-31.50519493723751,-69.69281987680758,,,,,Río Ansilta,,Río Ansilta,Calingasta,CL,San Juan,J,Argentina,ar,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-15 07:55:33,-21.66,-70.49,40,4.3,2201510.71569939,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2019-05-14 23:15:33,-33.65,-70.05,11,2.3,561.3806862306204,"Valle El Yeso, Cordillera, Chile",-33.64837,-70.04426,,,,,,,Valle El Yeso,Cordillera,CD,Metropolitana,RM,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2019-05-12 06:42:24,-22.02,-69.95,50,4.0,0,"Tocopilla, Provincia de Tocopilla, Chile",-22.0887189,-70.1960657,,,,,,Tocopilla,,Provincia de Tocopilla,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-11 17:05:24,-41.98,-74.21,46,4.2,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-11 03:05:55,-30.74,-71.35,37,3.6,612.7528462686715,"PMGD PFV Los Nogales, Ovalle, Chile",-30.741347,-71.343783,,,,PMGD PFV Los Nogales,PMGD PFV Los Nogales,Ovalle,,Limarí,LM,De Coquimbo,CO,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-10 14:39:47,-34.82,-71.73,44,4.0,0,"3140000 Lolol, Chile",-34.727836,-71.6440839,,,3140000,,,Lolol,,Provincia de Colchagua,,O'Higgins Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-10 03:47:43,-29.92,-71.38,50,3.0,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-09 22:21:40,-21.19,-70.02,51,4.5,0,"Iquique, Provincia de Iquique, Chile",-20.2140657,-70.1524646,,,,,,Iquique,Iquique,Provincia de Iquique,IE,Tarapacа Region,TP,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-06 15:47:49,-22.79,-69.15,114,4.9,0,"1390000 Sierra Gorda, Chile",-22.8916766,-69.3200101,,,1390000,,,Sierra Gorda,,Provincia de Antofagasta,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-06 06:32:36,-30.71,-71.39,54,3.6,894.9417793729395,"Petroglifos Valle Del Encanto, Ruta Turistica Valle del Encanto, 184 0000 Ovalle, Chile",-30.7057074,-71.3820816,,,1840000,,Ruta Turistica Valle del Encanto,Ovalle,Petroglifos Valle Del Encanto,Provincia de Limarí,LM,Coquimbo Region,CO,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-04 19:51:05,-29.81,-71.52,49,4.2,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-02 12:34:11,-35.33,-72.18,55,3.8,0,"Constitución, Provincia de Talca, Chile",-35.3318306,-72.4118998,,,,,,Constitución,,Provincia de Talca,,Maule Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-29 22:24:18,-32.65,-71.68,29,4.2,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-29 14:07:12,-30.84,-71.51,50,4.4,268.44651390535887,"Escuela Básica Elena Caffarena, Ruta D-639, Ovalle, Chile",-30.8421991,-71.5111602,,,,,Ruta D-639,Ovalle,Escuela Básica Elena Caffarena,Provincia de Limarí,LM,Coquimbo Region,CO,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-28 12:03:02,-32.2,-71.86,35,4.8,1799139.839666349,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2019-04-28 10:25:25,-24.09,-70.72,43,4.7,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-27 22:50:02,-30.27,-71.34,66,4.0,0,"Coquimbo, Provincia de Elqui, Chile",-29.9531851,-71.3379503,,,,,,Coquimbo,,Provincia de Elqui,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-27 00:51:08,-32.5,-71.7,30,4.0,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-26 06:22:35,-26.0,-70.75,50,5.6,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-25 20:28:31,-29.69,-71.34,51,4.0,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-25 09:33:32,-29.66,-71.3,68,3.8,195.45076144996088,"La Higuera, Provincia de Elqui, Chile",-29.6619957445467,-71.30149514358129,,,,,,La Higuera,,Provincia de Elqui,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-25 09:33:32,-29.66,-71.3,68,3.8,195.45076144996088,"La Higuera, Provincia de Elqui, Chile",-29.6619957445467,-71.30149514358129,,,,,,La Higuera,,Provincia de Elqui,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-24 18:57:33,-21.49,-68.52,137,5.3,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,Calama,,Provincia de El Loa,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-24 13:00:47,-30.66,-71.38,51,3.4,405.9897643365287,"Ruta 45, 184 0000 Ovalle, Chile",-30.664471717691278,-71.40949655585247,,,1840000,,Ruta 45,Ovalle,Ruta 45,Provincia de Limarí,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-24 06:24:33,-21.49,-69.78,49,5.0,0,"María Elena, Provincia de Tocopilla, Chile",-22.3451485,-69.6618035,,,,,,María Elena,,Provincia de Tocopilla,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-23 17:35:10,-22.16,-70.44,34,3.9,2180098.5893388316,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2019-04-23 10:16:16,-18.38,-70.13,73,3.9,213.20422084829048,"Ruta A-13, Arica, Chile",-18.383309037332314,-70.16181905821529,,,,,Ruta A-13,Arica,Ruta A-13,Provincia de Arica,,Arica y Parinacota Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-22 11:17:48,-30.2,-71.27,58,3.9,1427.4535588846747,"Coquimbo, Provincia de Elqui, Chile",-30.2060455,-71.2568964,,,,,,Coquimbo,,Provincia de Elqui,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-21 10:00:11,-35.78,-71.85,85,5.2,1762.309268581102,"San Javier, Provincia de Linares, Chile",-35.7644947,-71.8459551,,,,,,San Javier,,Provincia de Linares,,Maule Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-20 23:23:45,-30.86,-71.29,44,4.3,209.20007821465887,"Punitaqui, Provincia de Limarí, Chile",-30.85662576709653,-71.29422127621069,,,,,,Punitaqui,,Provincia de Limarí,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-20 21:49:48,-29.59,-71.11,34,3.4,0,"La Higuera, Provincia de Elqui, Chile",-29.511595,-71.2015007,,,,,,La Higuera,,Provincia de Elqui,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-20 17:29:03,-31.49,-71.69,32,3.8,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-20 00:00:05,-32.0,-71.67,40,4.0,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-19 21:37:41,-20.34,-69.13,91,5.0,0,"Pica, Provincia del Tamarugal, Chile",-20.4911417,-69.3290752,,,,,,Pica,,Provincia del Tamarugal,,Tarapacа Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-19 12:43:27,-22.91,-69.02,90,4.2,98.78293446342175,"Distrito Minero Centinela, Sierra Gorda, Provincia de Antofagasta, Chile",-22.915453735994827,-68.98190013222538,,,,Distrito Minero Centinela,,Sierra Gorda,,Provincia de Antofagasta,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-18 04:06:33,-29.38,-71.63,65,5.7,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-16 06:50:56,-20.13,-70.12,45,3.3,0,"Iquique, Provincia de Iquique, Chile",-20.2140657,-70.1524646,,,,,,Iquique,Iquique,Provincia de Iquique,IE,Tarapacа Region,TP,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-16 00:54:12,-27.89,-71.37,27,4.7,1879056.2908173203,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2019-04-12 12:02:53,-32.24,-71.63,61,4.0,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-11 17:07:32,-24.58,-70.11,61,4.9,0,"Antofagasta, Provincia de Antofagasta, Chile",-23.6463741,-70.3980033,,,,,,Antofagasta,,Provincia de Antofagasta,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-11 04:28:53,-19.64,-69.42,100,3.7,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,,1140000,,,Huara,,Provincia del Tamarugal,,Tarapacа Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-11 00:32:23,-29.53,-71.34,58,3.7,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-10 12:42:52,-32.13,-71.57,37,3.7,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-09 12:29:51,-33.42,-71.95,37,3.8,1804045.1206417477,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2019-04-09 02:21:05,-32.35,-71.26,51,3.7,439.9820716640078,"Quebrada Los Peumos, 203 0000 La Ligua, Chile",-32.3526848244633,-71.26344065702236,,,2030000,,Quebrada Los Peumos,La Ligua,Quebrada Los Peumos,Provincia de Petorca,PE,Valparaiso Region,VS,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-08 06:39:42,-32.14,-71.54,32,4.6,626.1156359358713,"El Jurel 60, Pichidangui, Chile",-32.136155,-71.535142,60,,,,El Jurel,Pichidangui,,Choapa,CH,De Coquimbo,CO,Chile,cl,© OpenAddresses contributors,BSD-3-Clause License,
2019-04-07 15:30:08,-28.43,-70.12,88,3.7,0,"Vallenar, Provincia de Huasco, Chile",-28.5750438,-70.7616398,,,,,,Vallenar,,Provincia de Huasco,,Atacama Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-07 14:57:36,-32.0,-71.59,48,4.1,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-07 10:52:40,-33.77,-72.62,10,4.8,1748566.0882564515,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2019-04-06 22:02:01,-27.32,-70.69,51,3.6,0,"Copiapó, Provincia de Copiapó, Chile",-27.3664685,-70.3322753,,,,,,Copiapó,,Provincia de Copiapó,,Atacama Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-06 21:33:02,-30.07,-71.27,63,4.9,2466.112351958663,"1780000 Coquimbo, Chile",-30.0552652,-71.2508477,,,1780000,,,Coquimbo,,Provincia de Elqui,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-04 12:00:08,-30.25,-71.2,64,4.7,0,"Coquimbo, Provincia de Elqui, Chile",-29.9531851,-71.3379503,,,,,,Coquimbo,,Provincia de Elqui,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-03 18:12:39,-32.89,-70.39,97,4.1,0,"2100000 Los Andes, Chile",-32.8336867,-70.5981609,,,2100000,,,Los Andes,,Provincia de Los Andes,,Valparaiso Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-03 15:14:18,-29.75,-70.9,82,3.8,0,"La Serena, Provincia de Elqui, Chile",-29.902631,-71.2520253,,,,,,La Serena,,Provincia de Elqui,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-03 14:34:00,-20.84,-69.98,72,3.8,0,"Pozo Almonte, Provincia del Tamarugal, Chile",-20.2597061,-69.7861372,,,,,,Pozo Almonte,,Provincia del Tamarugal,,Tarapacа Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-03 01:49:09,-51.2,-72.2,10,4.0,0,"Güer Aike, Argentina",-51.539385550000006,-70.68140822811375,,,,,,,Güer Aike,Güer Aike,GA,Santa Cruz Province,SC,Argentina,ar,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-02 13:17:38,-51.22,-72.2,3,4.6,0,"Güer Aike, Argentina",-51.539385550000006,-70.68140822811375,,,,,,,Güer Aike,Güer Aike,GA,Santa Cruz Province,SC,Argentina,ar,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-01 18:44:49,-30.24,-71.29,67,4.5,0,"Coquimbo, Provincia de Elqui, Chile",-29.9531851,-71.3379503,,,,,,Coquimbo,,Provincia de Elqui,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-01 10:19:50,-18.16,-67.57,323,4.8,923.1128869812732,"Municipio Toledo, Provincia Saucarí, Bolivia",-18.1658533,-67.5638042,,,,,,Municipio Toledo,,Provincia Saucarí,,Oruro,O,Bolivia,bo,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-04-01 09:43:16,-25.36,-70.87,55,3.5,2000182.6998595046,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2019-03-30 18:33:16,-24.0,-70.17,43,4.4,0,"Antofagasta, Provincia de Antofagasta, Chile",-23.6463741,-70.3980033,,,,,,Antofagasta,,Provincia de Antofagasta,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-03-29 10:53:16,-32.48,-71.81,46,3.9,1805970.9573394004,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2019-03-29 01:07:19,-31.54,-71.35,49,3.5,1095.320629873193,"Canela, Provincia de Choapa, Chile",-31.5306653,-71.3536906,,,,,,Canela,,Provincia de Choapa,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-03-28 15:05:32,-24.6,-70.12,61,5.5,0,"Antofagasta, Provincia de Antofagasta, Chile",-23.6463741,-70.3980033,,,,,,Antofagasta,,Provincia de Antofagasta,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-03-27 08:20:25,-19.9,-69.48,120,3.8,103.48636697902063,"Ruta A-565, Huara, Chile",-19.901556749173903,-69.4803763811497,,,,,Ruta A-565,Huara,Ruta A-565,Provincia del Tamarugal,TM,Tarapacа Region,TP,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-03-27 03:57:10,-18.44,-69.59,117,4.6,0,"Putre, Provincia de Parinacota, Chile",-18.1963825,-69.5592242,,,,,,Putre,,Provincia de Parinacota,,Arica y Parinacota Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
