original_Date(UTC),original_Latitude,original_Longitude,original_Depth,original_Magnitude,distance,formatted,lat,lon,housenumber,postcode,suburb,district,street,county_code,city,state_code,county,state,country,country_code,name,attribution,attribution_license,attribution_url
2021-07-31 12:46:46,-32.66,-71.69,36,3.2,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-31 12:34:05,-32.68,-71.84,42,3.1,1805017.392467985,South Pacific Ocean,-29.829753,-90.56043,,,,,,,,,,,,,South Pacific Ocean,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2021-07-31 12:29:35,-32.68,-71.74,34,3.7,1814339.9138913164,South Pacific Ocean,-29.829753,-90.56043,,,,,,,,,,,,,South Pacific Ocean,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2021-07-31 12:14:25,-32.68,-71.79,35,4.9,1809678.5094070921,South Pacific Ocean,-29.829753,-90.56043,,,,,,,,,,,,,South Pacific Ocean,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2021-07-29 22:03:05,-20.49,-69.14,101,4.0,0,"Pica, Provincia del Tamarugal, Chile",-20.4911417,-69.3290752,,,,,,,Pica,,Provincia del Tamarugal,Tarapacа Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-29 19:52:33,-28.87,-71.05,77,4.1,0,"Vallenar, Provincia de Huasco, Chile",-28.5750438,-70.7616398,,,,,,,Vallenar,,Provincia de Huasco,Atacama Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-29 19:29:05,-22.04,-70.33,18,3.6,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-28 11:09:52,-18.6,-70.64,36,4.4,2369012.330136565,South Pacific Ocean,-29.829753,-90.56043,,,,,,,,,,,,,South Pacific Ocean,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2021-07-27 12:26:56,-19.58,-69.4,112,3.4,82.08722156879261,"Ruta A-475, Huara, Chile",-19.596644493192805,-69.44550797119412,,,,,Ruta A-475,,Huara,,Provincia del Tamarugal,Tarapacа Region,Chile,cl,Ruta A-475,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-26 20:58:06,-33.44,-71.77,42,4.9,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-25 19:13:00,-28.76,-71.47,37,4.3,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-25 01:45:35,-19.87,-69.9,56,3.1,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,1140000,,,,,Huara,,Provincia del Tamarugal,Tarapacа Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-24 03:56:57,-27.07,-70.99,44,3.5,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-22 01:28:22,-32.05,-71.17,60,3.6,0,"Los Vilos, Provincia de Choapa, Chile",-31.9121611,-71.5138887,,,,,,,Los Vilos,,Provincia de Choapa,Coquimbo Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-21 16:23:56,-21.71,-68.71,108,5.0,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,,Calama,,Provincia de El Loa,Antofagasta Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-20 03:26:51,-19.19,-69.61,115,3.6,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,1140000,,,,,Huara,,Provincia del Tamarugal,Tarapacа Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-18 21:32:31,-18.96,-69.6,105,4.2,0,"1000000 Camarones, Chile",-18.9633718,-69.71519067506257,,1000000,,,,,Camarones,,Provincia de Arica,Arica y Parinacota Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-16 07:02:27,-28.88,-70.72,69,3.9,401.13857435085487,"Portezuelo Las Tunas, Huasco, Chile",-28.88025,-70.72411,,,,,,HU,,AT,Huasco,De Atacama,Chile,cl,Portezuelo Las Tunas,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2021-07-14 20:32:33,-29.24,-71.14,56,4.0,0,"Vallenar, Provincia de Huasco, Chile",-28.5750438,-70.7616398,,,,,,,Vallenar,,Provincia de Huasco,Atacama Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-14 05:22:33,-33.18,-70.31,117,4.8,238.67826308055672,"Mina San Lorenzo, Santiago, Chile",-33.18146,-70.30812,,,,,,SG,,RM,Santiago,Metropolitana,Chile,cl,Mina San Lorenzo,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2021-07-13 23:55:17,-25.75,-69.09,137,5.0,0,"Taltal, Provincia de Antofagasta, Chile",-25.4078293,-70.4858424,,,,,,,Taltal,,Provincia de Antofagasta,Antofagasta Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-13 22:17:43,-28.79,-71.37,39,4.0,0,"Freirina, Provincia de Huasco, Chile",-28.5086484,-71.0785719,,,,,,,Freirina,,Provincia de Huasco,Atacama Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-12 16:39:33,-29.6,-71.25,51,3.6,429.0435349846208,"Ruta 5 Norte, La Higuera, Chile",-29.596753674314215,-71.25378525572638,,,,,Ruta 5 Norte,,La Higuera,,Provincia de Elqui,Coquimbo Region,Chile,cl,Ruta 5 Norte,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-11 23:12:59,-25.82,-70.27,63,4.4,142.8031448509822,"Ruta B-965, Taltal, Chile",-25.81573442970447,-70.27189352284535,,,,,Ruta B-965,AN,Taltal,AN,Provincia de Antofagasta,Antofagasta Region,Chile,cl,Ruta B-965,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-10 02:28:59,-21.38,-69.89,59,4.2,0,"Pozo Almonte, Provincia del Tamarugal, Chile",-20.2597061,-69.7861372,,,,,,,Pozo Almonte,,Provincia del Tamarugal,Tarapacа Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-09 21:51:45,-25.76,-70.84,55,4.5,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-09 06:34:01,-29.02,-69.83,128,4.0,0,"Alto del Carmen, Provincia de Huasco, Chile",-28.7596711,-70.4861108,,,,,,,Alto del Carmen,,Provincia de Huasco,Atacama Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-09 05:05:31,-20.34,-68.73,114,5.0,0,"Pica, Provincia del Tamarugal, Chile",-20.4911417,-69.3290752,,,,,,,Pica,,Provincia del Tamarugal,Tarapacа Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-08 20:38:33,-28.75,-71.53,35,5.4,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-08 17:56:25,-34.76,-71.84,40,4.9,632.6862740037241,"Gruta de Oración, Violeta Espinoza, Paredones, Chile",-34.7655267,-71.8383532,,,,,Violeta Espinoza,CC,Paredones,LI,Provincia de Cardenal Caro,O'Higgins Region,Chile,cl,Gruta de Oración,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-08 10:30:39,-18.47,-71.26,50,5.1,2324665.2743669935,South Pacific Ocean,-29.829753,-90.56043,,,,,,,,,,,,,South Pacific Ocean,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2021-07-08 03:02:32,-19.74,-69.38,105,3.9,2037.144547889699,"Huara, Provincia del Tamarugal, Chile",-19.7448504,-69.39877,,,,,,,Huara,,Provincia del Tamarugal,Tarapacа Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-07 17:28:15,-21.14,-68.7,127,4.7,0,"Pica, Provincia del Tamarugal, Chile",-20.4911417,-69.3290752,,,,,,,Pica,,Provincia del Tamarugal,Tarapacа Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-05 11:58:26,-28.79,-71.67,35,4.9,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-05 08:24:13,-28.77,-71.69,21,4.6,1831611.4993889923,South Pacific Ocean,-29.829753,-90.56043,,,,,,,,,,,,,South Pacific Ocean,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2021-07-05 06:06:37,-28.8,-71.53,39,4.3,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-04 23:40:25,-28.71,-71.56,29,4.4,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-04 15:57:11,-28.77,-71.5,30,4.3,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-04 15:05:28,-28.8,-71.55,31,4.6,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-04 11:43:45,-28.75,-71.57,24,3.9,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-04 03:07:42,-28.79,-71.53,34,3.9,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-04 02:57:48,-28.75,-71.56,35,4.6,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-04 01:36:16,-28.76,-71.43,21,4.1,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-04 01:29:15,-28.77,-71.59,34,5.8,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-04 01:01:37,-28.8,-71.57,25,5.8,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-03 07:58:47,-20.25,-69.22,85,4.3,0,"Pica, Provincia del Tamarugal, Chile",-20.4911417,-69.3290752,,,,,,,Pica,,Provincia del Tamarugal,Tarapacа Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-02 06:31:43,-29.84,-71.2,53,3.4,479.3352878921613,"Jerusalén, Elqui, Chile",-29.84409,-71.20157,,,,,,EQ,,CO,Elqui,De Coquimbo,Chile,cl,Jerusalén,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2021-07-01 17:49:28,-32.31,-71.5,39,4.0,3491.3045237297315,"La Ligua, Provincia de Petorca, Chile",-32.2905129,-71.4708742,,,,,,,La Ligua,,Provincia de Petorca,Valparaiso Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-01 15:26:31,-35.25,-71.41,74,4.1,1699.5836077095933,"Río Claro, Provincia de Talca, Chile",-35.2347534,-71.4113206,,,,,,,Río Claro,,Provincia de Talca,Maule Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-06-30 05:57:43,-33.62,-70.06,14,2.6,343.66801617436755,"Punta Negra, San José de Maipo, Provincia de Cordillera, Chile",-33.6169181,-70.0597205,,,,,,CD,San José de Maipo,RM,Provincia de Cordillera,Santiago Metropolitan Region,Chile,cl,Punta Negra,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-06-27 22:03:53,-22.27,-69.98,65,3.9,0,"Tocopilla, Provincia de Tocopilla, Chile",-22.0887189,-70.1960657,,,,,,,Tocopilla,,Provincia de Tocopilla,Antofagasta Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-06-27 21:50:55,-27.26,-70.28,89,3.6,659.4955483593338,"Porotita, Copiapó, Chile",-27.26535,-70.27712,,,,,,CO,,AT,Copiapó,De Atacama,Chile,cl,Porotita,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2021-06-26 13:41:06,-31.01,-71.35,63,3.9,626.5816573386813,"Quebrada El Almendro, Punitaqui, Chile",-31.010774868945166,-71.35651221061698,,,,,Quebrada El Almendro,LM,Punitaqui,CO,Provincia de Limarí,Coquimbo Region,Chile,cl,Quebrada El Almendro,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-06-26 02:35:29,-18.5,-69.37,124,4.5,974.9677421434764,"Quebrada Catanave, Parinacota, Chile",-18.5087,-69.36885,,,,,,PR,,AP,Parinacota,Arica and Parinacota,Chile,cl,Quebrada Catanave,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2021-06-25 03:56:04,-22.08,-70.1,43,3.8,0,"Tocopilla, Provincia de Tocopilla, Chile",-22.0887189,-70.1960657,,,,,,,Tocopilla,,Provincia de Tocopilla,Antofagasta Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-06-24 23:36:39,-20.01,-69.16,92,4.5,742.5370981645734,"Quebrada Canaquina, Pozo Almonte, Chile",-20.003767218366118,-69.16255087193227,,,,,Quebrada Canaquina,TM,Pozo Almonte,TP,Provincia del Tamarugal,Tarapacа Region,Chile,cl,Quebrada Canaquina,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-06-23 19:41:33,-30.82,-71.61,27,4.4,0,"Ovalle, Provincia de Limarí, Chile",-30.6030819,-71.2029894,,,,,,,Ovalle,,Provincia de Limarí,Coquimbo Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-06-22 19:16:26,-32.1,-71.19,77,5.3,0,"Los Vilos, Provincia de Choapa, Chile",-31.9121611,-71.5138887,,,,,,,Los Vilos,,Provincia de Choapa,Coquimbo Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-06-22 09:23:04,-22.49,-70.32,36,4.3,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-06-22 03:47:27,-30.26,-71.25,62,4.2,567.4014302368597,"Ruta 43, Coquimbo, Chile",-30.259892527755383,-71.25593213861015,,,,,Ruta 43,,Coquimbo,,Provincia de Elqui,Coquimbo Region,Chile,cl,Ruta 43,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-06-22 00:31:26,-28.64,-71.31,28,3.4,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-06-20 20:49:46,-28.66,-69.98,106,4.2,0,"Alto del Carmen, Provincia de Huasco, Chile",-28.7596711,-70.4861108,,,,,,,Alto del Carmen,,Provincia de Huasco,Atacama Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-06-17 09:52:00,-40.07,-72.43,11,3.4,0,"Futrono, Provincia de Ranco, Chile",-40.131196,-72.3826602,,,,,,,Futrono,LR,Provincia de Ranco,Los Ríos,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
