original_Date(UTC),original_Latitude,original_Longitude,original_Depth,original_Magnitude,distance,formatted,lat,lon,housenumber,suburb,name,street,postcode,city,county_code,county,state_code,state,country,country_code,attribution,attribution_license,attribution_url
2016-06-27 12:51:12,-31.77,-71.38,45,5.1,0,"Canela, Provincia de Choapa, Chile",-31.4643996,-71.43491570348377,,,,,,Canela,,Provincia de Choapa,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-25 00:47:28,-31.54,-71.5,51,4.7,0,"Canela, Provincia de Choapa, Chile",-31.4643996,-71.43491570348377,,,,,,Canela,,Provincia de Choapa,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-24 21:29:17,-25.74,-69.35,124,5.8,0,"Taltal, Provincia de Antofagasta, Chile",-25.4078293,-70.4858424,,,,,,Taltal,,Provincia de Antofagasta,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-23 10:47:49,-20.47,-68.89,107,4.3,0,"Pica, Provincia del Tamarugal, Chile",-20.4911417,-69.3290752,,,,,,Pica,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-22 03:54:41,-30.62,-71.72,34,5.2,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-21 00:22:00,-23.76,-70.33,50,4.1,346.1682602864682,"Quebrada La Negra, Antofagasta, Chile",-23.763044049999998,-70.33071275,,,Quebrada La Negra,Quebrada La Negra,,Antofagasta,AN,Provincia de Antofagasta,AN,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-18 17:29:46,-24.19,-67.5,199,6.0,0,"Municipio de Tolar Grande, Los Andes, Argentina",-24.5894782,-67.3966467,,,,,,Municipio de Tolar Grande,,Los Andes,A,Salta,Argentina,ar,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-17 06:38:24,-30.66,-71.63,28,4.9,0,"Ovalle, Provincia de Limarí, Chile",-30.6030819,-71.2029894,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-17 03:48:39,-30.17,-71.44,20,4.8,854.2838672755317,"Punta Guanaquero, Coquimbo, Provincia de Elqui, Chile",-30.1672987,-71.448319,,,Punta Guanaquero,,,Coquimbo,EQ,Provincia de Elqui,CO,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-17 03:30:54,-23.02,-69.0,93,4.4,2034.433454705173,"Placilla de Caracoles, Sierra Gorda, Provincia de Antofagasta, Chile",-23.0375554,-69.0055993,,,Placilla de Caracoles,,,Sierra Gorda,,Provincia de Antofagasta,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-16 01:14:46,-30.65,-71.22,59,4.9,492.65790992687647,"Cruce El Reloj, Ruta D-605, 184 0612 Ovalle, Chile",-30.6495915,-71.2148719,,,Cruce El Reloj,Ruta D-605,1840612,Ovalle,LM,Provincia de Limarí,CO,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-14 22:42:25,-21.13,-68.92,114,4.6,0,"Pica, Provincia del Tamarugal, Chile",-20.4911417,-69.3290752,,,,,,Pica,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-14 11:43:24,-30.18,-71.6,40,4.6,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-12 17:07:53,-37.86,-73.65,35,4.5,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-11 13:44:59,-30.36,-71.41,46,4.3,26.55022112660679,"Coquimbo, Provincia de Elqui, Chile",-30.41266722292526,-71.37909939055729,,,,,,Coquimbo,,Provincia de Elqui,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-07 19:01:45,-25.87,-69.49,84,4.1,0,"Taltal, Provincia de Antofagasta, Chile",-25.4078293,-70.4858424,,,,,,Taltal,,Provincia de Antofagasta,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-06 13:21:58,-30.06,-71.53,44,5.6,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-06 13:16:01,-30.12,-71.48,37,5.8,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-06 06:53:10,-32.01,-71.54,40,4.4,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-05 15:05:35,-19.48,-69.25,107,5.3,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,,,,1140000,Huara,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-05 09:30:53,-29.37,-71.65,53,4.2,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-05 05:51:10,-29.32,-71.82,40,5.6,1811234.5910765764,South Pacific Ocean,-29.829753,-90.56043,,,South Pacific Ocean,,,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2016-06-04 22:19:04,-31.59,-71.49,48,4.1,1838.5445087818325,"Canela, Provincia de Choapa, Chile",-31.5795957,-71.5050852,,,,,,Canela,,Provincia de Choapa,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-03 13:46:53,-18.97,-70.12,52,4.1,0,"1000000 Camarones, Chile",-18.9633718,-69.71519067506257,,,,,1000000,Camarones,,Provincia de Arica,,Arica y Parinacota Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-02 23:08:48,-21.11,-68.91,113,4.1,0,"Pica, Provincia del Tamarugal, Chile",-20.4911417,-69.3290752,,,,,,Pica,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-01 07:53:07,-22.68,-68.66,96,4.5,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,Calama,,Provincia de El Loa,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-05-30 05:59:01,-32.23,-71.59,41,4.3,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-05-28 03:29:59,-37.52,-74.03,36,4.2,1748678.376458376,South Pacific Ocean,-29.829753,-90.56043,,,South Pacific Ocean,,,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2016-05-27 23:24:25,-19.67,-69.08,110,4.5,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,,,,1140000,Huara,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-05-26 20:36:50,-29.96,-71.88,17,4.8,1798847.1004338125,South Pacific Ocean,-29.829753,-90.56043,,,South Pacific Ocean,,,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2016-05-26 13:25:32,-38.42,-73.34,39,4.4,248.91414515169723,"Estero Blanco, Cautín, Chile",-38.42036,-73.34282,,,Estero Blanco,,,,CT,Cautín,AR,De La Araucania,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2016-05-22 11:47:10,-30.63,-71.64,32,5.1,0,"Ovalle, Provincia de Limarí, Chile",-30.6030819,-71.2029894,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-05-19 18:28:34,-30.68,-71.34,31,4.4,150.11858629026528,"Extremo Oeste Base San Julián, Limarí, Chile",-30.68045,-71.33852,,,Extremo Oeste Base San Julián,,,,LM,Limarí,CO,De Coquimbo,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2016-05-18 21:04:12,-30.68,-71.63,31,4.3,612.8380453698035,"Estación Biológica Julio Gutiérrez, Ruta D-560, Ovalle, Chile",-30.67624855,-71.63469458167789,,,Estación Biológica Julio Gutiérrez,Ruta D-560,,Ovalle,LM,Provincia de Limarí,CO,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-05-17 18:41:52,-38.25,-74.09,33,5.0,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-05-15 09:42:13,-29.19,-69.67,124,4.5,0,"Iglesia, Argentina",-29.58826425,-69.48016253361462,,,Iglesia,,,,IG,Iglesia,J,San Juan,Argentina,ar,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-05-12 18:03:50,-30.62,-71.75,34,4.6,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-05-11 17:59:39,-27.95,-71.13,29,4.6,0,"Copiapó, Provincia de Copiapó, Chile",-27.3664685,-70.3322753,,,,,,Copiapó,,Provincia de Copiapó,,Atacama Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-05-11 13:11:32,-30.66,-71.89,37,5.6,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-05-10 21:55:37,-37.95,-74.38,28,4.8,1741395.3585377466,South Pacific Ocean,-29.829753,-90.56043,,,South Pacific Ocean,,,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2016-05-10 00:16:07,-32.34,-71.67,57,4.3,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-05-09 11:18:20,-32.58,-71.85,24,4.0,1803124.5083791472,South Pacific Ocean,-29.829753,-90.56043,,,South Pacific Ocean,,,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2016-05-08 19:06:01,-24.71,-69.47,88,5.0,0,"Taltal, Provincia de Antofagasta, Chile",-25.4078293,-70.4858424,,,,,,Taltal,,Provincia de Antofagasta,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-05-08 10:33:12,-32.77,-71.53,39,4.6,96.50860084148653,"Pasaje Avendaño 444, 249 0000 Quintero, Chile",-32.770485,-71.529144,444,,,Pasaje Avendaño,2490000,Quintero,IP,Valparaíso,VS,De Valparaiso,Chile,cl,© OpenAddresses contributors,BSD-3-Clause License,
2016-05-07 07:22:22,-33.93,-71.48,52,4.2,481.1368075378256,"Lindero, Melipilla, Chile",-33.93333,-71.48333,,,Lindero,,,,ME,Melipilla,RM,Metropolitana,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2016-05-06 08:51:32,-30.4,-71.24,59,4.3,541.9756609493384,"Ovalle, Provincia de Limarí, Chile",-30.41149941962732,-71.26279966260397,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-04-30 02:49:08,-29.82,-71.98,33,4.8,1790445.6660296724,South Pacific Ocean,-29.829753,-90.56043,,,South Pacific Ocean,,,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2016-04-26 19:58:16,-21.07,-68.57,126,4.7,0,"Pica, Provincia del Tamarugal, Chile",-20.4911417,-69.3290752,,,,,,Pica,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-04-25 22:20:48,-30.96,-71.79,35,4.7,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-04-25 14:01:47,-32.14,-71.82,28,4.7,1802506.0148948648,South Pacific Ocean,-29.829753,-90.56043,,,South Pacific Ocean,,,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2016-04-18 11:38:38,-31.77,-71.31,51,5.5,926.4981183623702,"Estación Cavilolén, Choapa, Chile",-31.76209,-71.30692,,,Estación Cavilolén,,,,CH,Choapa,CO,De Coquimbo,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2016-04-18 07:01:14,-32.43,-71.43,41,4.1,484.541610456501,Quebrada Los Lunes,-32.43333,-71.43333,,,Quebrada Los Lunes,,,,,,,,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2016-04-18 04:25:59,-29.54,-70.99,50,4.5,0,"La Higuera, Provincia de Elqui, Chile",-29.511595,-71.2015007,,,,,,La Higuera,,Provincia de Elqui,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-04-17 19:24:43,-31.62,-71.85,46,4.4,1797285.8567146976,South Pacific Ocean,-29.829753,-90.56043,,,South Pacific Ocean,,,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2016-04-17 14:59:45,-30.75,-71.35,47,4.9,28.657984640452998,"Ruta D-629, Ovalle, Chile",-30.735087614209007,-71.33647614840379,,,Ruta D-629,Ruta D-629,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-04-16 06:05:23,-26.49,-70.04,73,5.3,904.9974218196718,"Quebrada Chañaral Alto, Diego de Almagro, Chile",-26.483759412447686,-70.0458372088299,,,Quebrada Chañaral Alto,Quebrada Chañaral Alto,,Diego de Almagro,CR,Provincia de Chañaral,AT,Atacama Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-04-15 04:27:56,-32.18,-71.84,32,4.6,1800884.8064001235,South Pacific Ocean,-29.829753,-90.56043,,,South Pacific Ocean,,,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2016-04-14 17:44:57,-32.17,-71.83,39,4.5,1801758.7095921796,South Pacific Ocean,-29.829753,-90.56043,,,South Pacific Ocean,,,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2016-04-14 09:38:44,-33.86,-70.44,118,5.3,632.4953611036864,"Cerro Los Cristales, Mostazal, Provincia de Cachapoal, Chile",-33.8655817,-70.4413191,,,Cerro Los Cristales,,,Mostazal,CA,Provincia de Cachapoal,LI,O'Higgins Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-04-13 20:01:59,-21.0,-66.87,271,5.3,0,"Municipio Colcha K, Provincia Nor Lípez, Bolivia",-20.7857208,-67.41570599440217,,,,,,Municipio Colcha K,,Provincia Nor Lípez,P,Potosí,Bolivia,bo,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-04-10 18:10:56,-31.5,-71.73,37,4.6,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-04-09 17:30:03,-30.66,-71.76,33,4.2,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-04-09 05:49:16,-30.34,-71.49,18,4.2,0,"Coquimbo, Provincia de Elqui, Chile",-29.9531851,-71.3379503,,,,,,Coquimbo,,Provincia de Elqui,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-04-07 07:03:07,-20.42,-68.83,108,4.7,507.4706606342672,"Cerro Huaila Oriental, Tamarugal, Chile",-20.41667,-68.83333,,,Cerro Huaila Oriental,,,,TM,Tamarugal,TP,De Tarapaca,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2016-04-06 17:35:38,-31.51,-71.67,36,5.2,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-04-04 23:12:17,-30.8,-71.32,41,4.6,178.51551613579215,"Punitaqui, Provincia de Limarí, Chile",-30.809099452586246,-71.30749585752423,,,,,,Punitaqui,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-04-04 12:32:44,-31.25,-71.84,36,5.2,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-04-03 06:02:04,-28.98,-70.16,108,4.7,528.8021394019031,"Escuela de Chollay, Ruta C-501, 165 0000 Alto del Carmen, Chile",-28.9838044,-70.156738,,,Escuela de Chollay,Ruta C-501,1650000,Alto del Carmen,HU,Provincia de Huasco,AT,Atacama Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-04-02 15:13:31,-29.85,-71.27,45,4.1,389.641475669485,"Polaris, La Serena, Chile",-29.847321,-71.27356915,,,Polaris,Polaris,,La Serena,,Provincia de Elqui,CO,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-04-01 03:13:20,-20.32,-69.93,52,4.6,0,"Pozo Almonte, Provincia del Tamarugal, Chile",-20.2597061,-69.7861372,,,,,,Pozo Almonte,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-04-01 02:40:18,-30.63,-71.7,42,4.6,224.2330926815944,"Camino Interior, Ovalle, Chile",-30.683669935348902,-71.68622088428555,,,Camino Interior,Camino Interior,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
