original_Date(UTC),original_Latitude,original_Longitude,original_Depth,original_Magnitude,distance,formatted,lat,lon,housenumber,district,street,postcode,suburb,name,city,county_code,county,state_code,state,country,country_code,attribution,attribution_license,attribution_url
2022-12-28 20:38:09,-30.66,-71.22,58,4.8,15.937082645591826,"Ruta D-605, Ovalle, Chile",-30.664619475591536,-71.22245128866948,,,Ruta D-605,,,Ruta D-605,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-28 13:57:40,-19.08,-69.76,82,4.7,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,,,1140000,,,Huara,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-28 08:55:35,-29.49,-71.12,44,3.8,0,"La Higuera, Provincia de Elqui, Chile",-29.511595,-71.2015007,,,,,,,La Higuera,,Provincia de Elqui,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-27 23:43:53,-32.65,-72.71,20,4.6,1723627.4331087926,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2022-12-25 22:18:47,-37.42,-73.78,42,3.4,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-25 15:55:59,-22.53,-69.26,108,4.4,0,"María Elena, Provincia de Tocopilla, Chile",-22.3451485,-69.6618035,,,,,,,María Elena,,Provincia de Tocopilla,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-24 12:27:34,-30.16,-71.28,65,4.1,0,"Coquimbo, Provincia de Elqui, Chile",-29.9531851,-71.3379503,,,,,,,Coquimbo,,Provincia de Elqui,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-20 02:08:53,-29.23,-71.25,49,3.9,0,"La Higuera, Provincia de Elqui, Chile",-29.511595,-71.2015007,,,,,,,La Higuera,,Provincia de Elqui,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-19 20:10:50,-22.31,-68.64,114,5.0,166.57763106850058,"Ruta 21 CH, Calama, Chile",-22.292065797247854,-68.63272921708685,,,Ruta 21 CH,,,Ruta 21 CH,Calama,,Provincia de El Loa,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-16 04:46:36,-29.56,-71.51,71,4.3,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-14 02:11:36,-29.09,-71.31,79,4.1,0,"Freirina, Provincia de Huasco, Chile",-28.5086484,-71.0785719,,,,,,,Freirina,,Provincia de Huasco,,Atacama Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-11 10:06:43,-30.07,-71.18,47,3.7,0,"Coquimbo, Provincia de Elqui, Chile",-29.9531851,-71.3379503,,,,,,,Coquimbo,,Provincia de Elqui,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-10 08:49:05,-31.61,-71.35,43,4.7,0,"1930000 Illapel, Chile",-31.6326932,-71.1683039,,,,1930000,,,Illapel,,Provincia de Choapa,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-10 08:48:36,-30.47,-71.04,17,5.0,457.86467330473295,"Quebrada Bulrreme, Limarí, Chile",-30.47174,-71.03567,,,,,,Quebrada Bulrreme,,LM,Limarí,CO,De Coquimbo,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2022-12-10 07:25:48,-33.66,-72.11,30,5.3,1793187.7786374798,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2022-12-10 06:41:31,-22.98,-68.27,123,5.5,0,"San Pedro de Atacama, Provincia de El Loa, Chile",-22.910832,-68.2001376,,,,,,,San Pedro de Atacama,,Provincia de El Loa,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-09 22:00:14,-19.61,-69.23,105,4.0,1586.6528250117904,"Huara, Provincia del Tamarugal, Chile",-19.5961026,-69.2334347,,,,,,,Huara,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-09 18:51:04,-19.13,-69.8,81,4.0,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,,,1140000,,,Huara,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-08 20:55:40,-19.29,-69.37,110,4.4,1236.4248562448402,"Camiña, Provincia del Tamarugal, Chile",-19.2874386,-69.3814639,,,,,,,Camiña,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-08 11:21:37,-35.54,-71.52,75,4.3,102.1982249428008,"San Clemente, Provincia de Talca, Chile",-35.54417436496267,-71.52286862127147,,,,,,,San Clemente,,Provincia de Talca,,Maule Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-07 01:29:24,-39.96,-72.77,82,3.2,0,"Los Lagos, Provincia de Valdivia, Chile",-39.8634009,-72.8129655,,,,,,,Los Lagos,,Provincia de Valdivia,LR,Los Ríos,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-06 16:48:19,-32.28,-70.71,96,4.2,0,"Cabildo, Provincia de Petorca, Chile",-32.4265909,-71.0663299,,,,,,,Cabildo,,Provincia de Petorca,,Valparaiso Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-06 05:52:05,-29.22,-71.36,55,4.4,0,"La Higuera, Provincia de Elqui, Chile",-29.511595,-71.2015007,,,,,,,La Higuera,,Provincia de Elqui,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-05 04:15:58,-36.77,-72.99,9,2.8,115.12339878142967,"4140000 Penco, Chile",-36.769344206096044,-72.98511410041483,,Santa Rosa,,4140000,,,Penco,,Provincia de Concepción,,Biobio Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-03 10:39:06,-32.83,-71.85,40,4.4,1805650.2625272963,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2022-12-03 04:19:25,-31.52,-71.17,78,4.1,0,"1930000 Illapel, Chile",-31.6326932,-71.1683039,,,,1930000,,,Illapel,,Provincia de Choapa,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-02 13:40:08,-20.62,-68.85,110,4.4,0,"Pica, Provincia del Tamarugal, Chile",-20.4911417,-69.3290752,,,,,,,Pica,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-01 01:59:17,-28.84,-71.04,50,4.0,992.7410209411698,"Sierra Las Perdices, Huasco, Chile",-28.84106,-71.02988,,,,,,Sierra Las Perdices,,HU,Huasco,AT,De Atacama,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2022-11-28 04:52:52,-34.8,-72.27,46,3.9,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-27 00:00:53,-29.4,-70.58,84,3.6,0,"La Higuera, Provincia de Elqui, Chile",-29.511595,-71.2015007,,,,,,,La Higuera,,Provincia de Elqui,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-26 15:15:13,-32.63,-71.11,56,3.9,609.5475874699629,"Rajo Veta Blanca, Nogales, Provincia de Quillota, Chile",-32.6354372,-71.11082851751556,,,,,,Rajo Veta Blanca,Nogales,,Provincia de Quillota,,Valparaiso Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-26 09:40:29,-22.45,-69.15,117,4.6,443.3515470282385,"Cerro Millo, María Elena, Provincia de Tocopilla, Chile",-22.4518007,-69.1461509,,,,,,Cerro Millo,María Elena,EL,Provincia de Tocopilla,AN,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-25 01:55:49,-25.54,-69.55,110,4.4,0,"Taltal, Provincia de Antofagasta, Chile",-25.4078293,-70.4858424,,,,,,,Taltal,,Provincia de Antofagasta,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-25 00:45:24,-30.71,-71.41,44,3.7,0,"Ovalle, Provincia de Limarí, Chile",-30.6030819,-71.2029894,,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-24 17:20:49,-37.54,-73.93,40,3.3,1757629.1287887306,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2022-11-24 11:29:01,-29.99,-71.62,43,4.0,1823577.9082951758,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2022-11-23 08:53:13,-35.37,-71.37,84,5.1,295.4648214638025,"Pelarco, Provincia de Talca, Chile",-35.36795871091368,-71.36296167553668,,,,,,,Pelarco,,Provincia de Talca,,Maule Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-23 07:36:15,-33.58,-71.33,53,4.0,0,"Cartagena, Provincia de San Antonio, Chile",-33.5468491,-71.6031708,,,,,,,Cartagena,,Provincia de San Antonio,,Valparaiso Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-22 20:04:05,-32.09,-71.14,89,3.9,0,"Los Vilos, Provincia de Choapa, Chile",-31.9121611,-71.5138887,,,,,,,Los Vilos,,Provincia de Choapa,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-22 18:02:36,-30.06,-71.61,37,3.5,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-21 19:07:43,-30.71,-71.38,45,3.6,98.04618608568528,"Monumento Arqueológico Valle del Encanto, Quebrada Espinal, 184 0000 Ovalle, Chile",-30.704937299999997,-71.378561888444,,,Quebrada Espinal,1840000,,Monumento Arqueológico Valle del Encanto,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-20 11:56:01,-37.56,-73.57,14,3.2,391.02494899036225,"Camino El Tique, Lebu, Chile",-37.58100069632685,-73.59687626769833,,,Camino El Tique,,,Camino El Tique,Lebu,,Provincia de Arauco,,Biobio Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-19 07:44:36,-32.4,-71.74,33,4.2,1811862.8983877967,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2022-11-19 05:23:54,-32.4,-71.73,29,4.6,1812799.3675633336,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2022-11-19 05:13:33,-33.26,-71.11,77,4.4,0,"8340431 Curacaví, Chile",-33.4022289,-71.1293733,,,,8340431,,,Curacaví,,Provincia de Melipilla,,Santiago Metropolitan Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-18 12:15:09,-27.12,-70.83,38,2.6,432.7797092734444,"Camino a Costanera Bahía Cisnes, 157 0000 Caldera, Chile",-27.12019850575693,-70.82203276036994,,,Camino a Costanera Bahía Cisnes,1570000,,Camino a Costanera Bahía Cisnes,Caldera,,Provincia de Copiapó,,Atacama Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-17 17:51:02,-18.39,-69.87,84,4.1,0,"Arica, Provincia de Arica, Chile",-18.4785288,-70.3211394,,,,,,,Arica,,Provincia de Arica,,Arica y Parinacota Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-17 07:45:06,-37.59,-73.72,10,2.8,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-15 20:22:34,-30.73,-71.41,48,3.8,1248.55796461555,"Ovalle, Provincia de Limarí, Chile",-30.738859,-71.4180265,,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-15 17:26:20,-30.63,-71.28,50,4.6,604.8435318548375,"Los Aromos 65, Limarí, Chile",-30.635427,-71.279572,65,,Los Aromos,,,,,LM,Limarí,CO,De Coquimbo,Chile,cl,© OpenAddresses contributors,BSD-3-Clause License,
2022-11-15 06:54:57,-29.94,-71.34,52,3.7,15.196207966958406,"Regimiento Buin 2, Coquimbo, Chile",-29.940111,-71.340092,2,,Regimiento Buin,,,,Coquimbo,EQ,Elqui,CO,De Coquimbo,Chile,cl,© OpenAddresses contributors,BSD-3-Clause License,
2022-11-15 02:43:23,-33.21,-71.92,34,4.5,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-14 16:09:08,-30.61,-71.24,44,3.9,104.1460990224994,"1840612 Ovalle, Chile",-30.607333495657294,-71.24042261418388,,,,1840612,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-14 08:43:15,-37.58,-73.62,14,3.0,4.574353170615393,"Camino El Tique, Lebu, Chile",-37.58100069632685,-73.59687626769833,,,Camino El Tique,,,Camino El Tique,Lebu,,Provincia de Arauco,,Biobio Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-14 04:23:44,-37.56,-74.19,36,3.5,1737704.946147329,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2022-11-13 15:28:20,-37.68,-73.85,17,3.2,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-13 15:26:01,-37.59,-73.68,4,3.8,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-13 13:38:06,-37.54,-73.61,18,3.6,337.03446222351863,"Caleta La Poza, Chile",-37.539256,-73.6137056,,,,,,Caleta La Poza,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-13 10:25:19,-37.53,-73.88,14,3.0,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-13 05:50:17,-37.58,-73.65,23,3.0,544.2454349060705,Punta Millaneco,-37.57866,-73.64406,,,,,,Punta Millaneco,,,,,,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2022-11-13 03:00:44,-37.55,-73.69,27,5.0,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-13 02:35:33,-37.52,-73.81,20,3.4,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-13 02:32:27,-37.56,-74.22,32,4.2,1735305.3107876538,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2022-11-13 02:24:59,-37.56,-73.69,24,6.1,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-13 02:24:02,-37.53,-73.82,45,5.3,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-08 08:51:16,-33.66,-70.77,92,5.3,957.6893738178081,"Eliodoro Yañez SN, 805 0000 Maipo, Chile",-33.662121,-70.759971,SN,,Eliodoro Yañez,8050000,,,,MI,Maipo,RM,Metropolitana,Chile,cl,© OpenAddresses contributors,BSD-3-Clause License,
2022-11-06 19:33:12,-32.57,-71.53,30,3.6,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-06 07:16:32,-29.67,-71.3,52,3.3,277.76376363407456,"La Higuera, Provincia de Elqui, Chile",-29.666831618090935,-71.29877243355112,,,,,,,La Higuera,,Provincia de Elqui,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-06 07:08:06,-17.5,-70.26,23,4.9,43.02411254001711,"Quebrada Cobaya, Tarata, Peru",-17.50028,-70.26028,,,,,,Quebrada Cobaya,,TA,Tarata,TA,Tacna,Peru,pe,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2022-11-05 07:57:20,-35.5,-73.71,22,4.9,1695807.2141993588,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2022-11-04 14:39:07,-20.15,-70.59,26,5.0,2277325.244240917,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2022-11-04 09:46:36,-29.31,-71.33,49,3.1,0,"La Higuera, Provincia de Elqui, Chile",-29.511595,-71.2015007,,,,,,,La Higuera,,Provincia de Elqui,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-03 14:37:28,-27.82,-71.08,32,4.3,350.8695463853087,"Ruta C-10, Copiapó, Chile",-27.712565694362244,-70.96952561108822,,,Ruta C-10,,,Ruta C-10,Copiapó,,Provincia de Copiapó,,Atacama Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-11-02 02:38:00,-22.33,-68.88,119,5.3,914.1398572468863,"Correa Overland, El Loa, Chile",-22.324221,-68.873679,,,Correa Overland,,,,,EL,El Loa,AN,De Antofagasta,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-10-31 23:47:40,-30.7,-71.46,28,3.8,0,"Ovalle, Provincia de Limarí, Chile",-30.6030819,-71.2029894,,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-10-29 13:58:43,-28.69,-71.38,40,4.7,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-10-26 00:20:49,-19.49,-69.43,93,3.8,974.3667010843803,"Quebrada Hapillan, Camiña, Chile",-19.498725044117464,-69.43086058818632,,,Quebrada Hapillan,,,Quebrada Hapillan,Camiña,TM,Provincia del Tamarugal,TP,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
